abiword 3.0.5-2
archlinux-wallpaper 1.6.1-2
autoconf 2.71-1
automake 1.16.5-1
baobab 42.0-1
base 2-2
bauh 0.10.3-1
binutils 2.38-5
bison 3.8.2-4
bluez-utils 5.64-2
buffer 1.19-8
cheese 41.1-2
chrome-gnome-shell-git 10.1.r68.g5325b50-1
cmake 3.23.2-1
cmatrix 2.0-2
conky 1.12.2-2
conky-manager 2.4-4
cups 1:2.4.2-3
dconf-editor 3.38.3-1
debtap 3.5.1-1
dhcpcd 9.4.1-1
dosfstools 4.2-2
downgrader-git 2.0.0.r158.f346695-3
efibootmgr 17-2
eog 42.2-1
epiphany 42.2-1
evince 42.3-1
extension-manager 0.3.1-1
f25-backgrounds 25.1.1-13
f34-backgrounds-fedoradesign 34.0.1-1
f35-backgrounds 35.0.1-1
fakeroot 1.29-1
fedorainfinity-backgrounds 0.0.5-24
file 5.42-1
file-roller 3.42.0-1
findutils 4.9.0-1
firefox 102.0-1
flex 2.6.4-3
gawk 5.1.1-1
gcc 12.1.0-2
gcc-fortran 12.1.0-2
gdm-plymouth 42.0+r11+g4a52f026-1
gdm-tools-git 1:1.1+4+gef13122-1
gedit 42.1-1
gettext 0.21-2
gimp 2.10.32-1
gimp-nufraw 0.43.3-4
gnome-backgrounds 42.0-1
gnome-books 40.0-1
gnome-boxes 42.1-1
gnome-calculator 42.1-1
gnome-calendar 42.2-1
gnome-characters 42.0-1
gnome-clocks 42.0-1
gnome-color-manager 3.36.0+r25+g4aab8b59-1
gnome-contacts 42.0-1
gnome-control-center 42.2-1
gnome-disk-utility 42.0-1
gnome-documents 3.34.0+34+g678141fa-1
gnome-font-viewer 42.0-1
gnome-keyring 1:42.1-1
gnome-logs 42.0-1
gnome-maps 42.2-1
gnome-menus 3.36.0-1
gnome-music 1:42.1-1
gnome-photos 1:42.0-1
gnome-remote-desktop 42.2-1
gnome-screenshot 41.0+r25+g45f08f0-1
gnome-session 42.0-1
gnome-session-properties 3.10.0-3
gnome-settings-daemon 42.2-1
gnome-shell 1:42.2-1
gnome-shell-extension-dash-to-dock-gnome41-git 69+526+gcd5d7c4-2
gnome-shell-extensions 42.2-1
gnome-software 42.2-1
gnome-system-monitor 42.0-1
gnome-terminal-transparency 3.44.1-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnome-tweaks 42beta+r9+gc66d8c3-1
gnome-user-docs 42.0-1
gnome-user-share 3.34.0-2
gnome-video-effects 0.5.0+4+g9554041-2
gnome-weather 42.0-1
google-earth-pro 7.3.4.8573-1
gparted 1.4.0-1
gptfdisk 1.0.9-1
grep 3.7-1
grilo-plugins 1:0.3.14-1
groff 1.22.4-7
grub 2:2.06.r261.g2f4430cc0-1
grub-customizer 5.2.1-1
gvfs 1.50.2-1
gvfs-afc 1.50.2-1
gvfs-goa 1.50.2-1
gvfs-google 1.50.2-1
gvfs-gphoto2 1.50.2-1
gvfs-mtp 1.50.2-1
gvfs-nfs 1.50.2-1
gvfs-smb 1.50.2-1
gzip 1.12-1
howdy 2.6.1-2
hplip 1:3.22.6-1
htop 3.2.1-1
humanity-icon-theme 0.6.15-1
i2c-tools 4.3-3
ifuse 1.1.4-2
intel-ucode 20220510-1
jdk 18.0.1.1-1
